Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region,Province
4095,20006476,3910,995000,house,5.0,725.0,0,0,1,,,1,Good,1372.4137931034484,Flanders,Limburg
4096,20020854,9860,995000,house,4.0,360.0,0,0,1,,,0,Just renovated,2763.8888888888887,Flanders,East Flanders
7377,20221119,8300,995000,apartment,3.0,90.0,0,0,1,,,0,As new,11055.555555555555,Flanders,West Flanders
4093,11397487,1380,990000,house,3.0,256.0,0,0,1,50.0,1100.0,1,As new,3867.1875,Wallonia,Walloon Brabant
725,20189412,1180,990000,house,4.0,259.0,1,0,1,20.0,150.0,0,As new,3822.3938223938226,Brussels,Brussels
6787,20149743,1180,990000,apartment,5.0,223.0,0,0,1,75.0,,0,To renovate,4439.461883408072,Brussels,Brussels
1548,20231363,7322,990000,house,5.0,436.0,0,1,1,,3600.0,1,As new,2270.6422018348626,Wallonia,Hainaut
3677,11452561,1150,990000,house,7.0,305.0,1,0,1,,1.0,0,To renovate,3245.901639344262,Brussels,Brussels
1735,20197911,1950,990000,house,3.0,321.0,1,0,1,20.0,700.0,0,To be done up,3084.11214953271,Flanders,Flemish Brabant
628,20233589,1020,990000,house,4.0,470.0,0,0,1,,,0,Good,2106.3829787234044,Brussels,Brussels
8654,11219361,1180,990000,apartment,3.0,247.0,0,0,1,31.0,,0,As new,4008.097165991903,Brussels,Brussels
1767,20139673,2018,985000,house,5.0,415.0,0,0,1,,87.0,0,Good,2373.4939759036147,Flanders,Antwerp
2341,20215677,1160,985000,house,6.0,450.0,0,0,1,,90.0,0,Good,2188.8888888888887,Brussels,Brussels
2082,20232817,1190,985000,house,4.0,303.0,0,0,1,8.0,55.0,0,As new,3250.825082508251,Brussels,Brussels
1245,20225786,2840,985000,house,4.0,250.0,0,0,1,,,1,Good,3940.0,Flanders,Antwerp
10025,20214083,1050,980000,apartment,3.0,206.0,0,0,1,,,1,Good,4757.281553398058,Brussels,Brussels
7702,20150529,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new,7000.0,Brussels,Brussels
9189,11396725,1050,980000,apartment,2.0,141.0,0,0,1,3.0,,0,As new,6950.354609929078,Brussels,Brussels
9480,20022853,1180,980000,apartment,2.0,140.0,0,0,1,30.0,,0,As new,7000.0,Brussels,Brussels
297,20159608,1950,980000,house,5.0,245.0,0,0,1,15.0,660.0,0,Good,4000.0,Flanders,Flemish Brabant
2081,20204441,1380,980000,house,6.0,343.0,0,0,1,,,0,To be done up,2857.1428571428573,Wallonia,Walloon Brabant
10217,20081859,1050,980000,apartment,4.0,270.0,1,0,1,4.0,,0,To renovate,3629.6296296296296,Brussels,Brussels
8125,20120307,1000,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate,3192.182410423453,Brussels,Brussels
8126,20120273,1050,980000,apartment,4.0,307.0,0,0,1,10.0,,0,To renovate,3192.182410423453,Brussels,Brussels
1521,20229227,9620,980000,house,4.0,430.0,0,0,1,,,0,As new,2279.0697674418607,Flanders,East Flanders
4573,20197380,4900,979000,house,4.0,300.0,1,0,1,,,0,As new,3263.3333333333335,Wallonia,Liège
136,20236654,1640,975000,house,7.0,465.0,0,0,1,,477.0,0,Good,2096.7741935483873,Flanders,Flemish Brabant
134,20236655,1410,975000,house,7.0,465.0,0,0,1,,477.0,0,Good,2096.7741935483873,Wallonia,Walloon Brabant
135,20236653,1420,975000,house,7.0,465.0,0,0,1,,477.0,0,Good,2096.7741935483873,Wallonia,Walloon Brabant
7366,20190525,3020,975000,apartment,3.0,173.0,0,0,1,220.0,,0,As new,5635.838150289017,Flanders,Flemish Brabant
2703,11474182,1341,975000,house,5.0,452.0,1,0,1,71.0,7043.0,0,Good,2157.079646017699,Wallonia,Walloon Brabant
